date,hs_code,country_code,country_name,hs_name,import_value,import_weight,year_month,year,month,unit_price,log_price,ht_country_count,ht_median_log_price,ht_mad_log_price,rel_z,price_rank_pct,loo_median_log_price,counterfactual_dev,counterfactual_dev_scaled,network_isolation_score,total_hs_month_import,import_share_country,hhi_hs_month,concentration_risk,lag_date,price_return,rank_shift,abs_rank_shift,import_growth,weight_growth,log_import_value,log_import_weight,anomaly_abs,anomaly_up,anomaly_down,abs_rel_z,anomaly_abs_roll3,anomaly_up_roll3,anomaly_down_roll3,abs_rel_z_roll3,price_return_roll3,price_volatility_roll3,import_growth_roll3,return_sign,majority_sign,sync_score,idiosyncratic_current_score,ht_median_return,ht_mad_return,total_import_return,price_distribution_shift,month_sin,month_cos,next_date,next_rel_z,next_price_rank_pct,next_network_isolation_score,has_next_month,future_abs_anomaly,future_up_anomaly,future_down_anomaly,future_net_anomaly_amount,future_up_anomaly_amount,future_down_anomaly_amount,actual_top_anomaly,predicted_net_anomaly_amount,risk_rank,pred_amount_score,idiosyncratic_score,systemic_score,persistence_score,concentration_score,structural_risk_score,risk_type,warning_rank
2024-08-01,850790,HU,헝가리,부분품,35124,607,202408,2024,8,57.86490939044481,4.058111145420388,26,3.63736970013601,1.1023806856517944,0.3816661982204541,0.6,3.295836866004329,0.7622742794160589,0.6914800752022937,0.609515139280522,30723002,0.001143247655290977,0.6679726200490816,0.0007636581316696833,2024-07-01,1.4061577370033826,0.27741935483870966,0.27741935483870966,-0.7426794335489637,-0.936935064935065,10.466639936479886,6.408528791059498,0.0,0.0,0.0,0.3816661982204541,0.0,0.0,0.0,0.6333008219799673,-0.12932377335259604,1.6770608305450085,8.767824917809344,1.0,1.0,0.6538461538461539,0.1321152224609264,0.44679962589211497,0.22273075732550196,0.5957621902604651,0.607348971714593,-0.8660254037844384,-0.5000000000000004,2024-09-01,0.2974950780930819,0.5384615384615384,0.6391612645353394,True,0.0,0.0,0.0,0.0,0.0,0.0,0,4091.754752728984,1460,0.3961092715231788,0.24006622516556292,0.8377483443708609,0.2644867549668874,0.4954470198675497,0.3132657284768212,common_shock,1460
2024-10-01,850710,MX,멕시코,피스톤식 엔진 시동용 연산(鉛酸)축전지,3965,175,202410,2024,10,22.65714285714286,3.1204751601454346,14,2.261879544436985,0.6656476414961645,1.2898650309623263,0.9230769230769231,2.216403247366791,0.9040719127786434,1.358183904545319,0.6837729825735909,2645124,0.0014989845466601944,0.3780754676990033,0.0005667292835521314,2024-09-01,-2.7780513913032783,-0.07692307692307687,0.07692307692307687,4.438957475994513,86.5,8.285261134068948,5.1647859739235145,0.0,0.0,0.0,1.2898650309623263,0.3333333333333333,0.3333333333333333,0.0,4.687313002103943,0.0,0.0,0.32496661385415343,-1.0,-1.0,0.42857142857142855,0.7370657319784721,0.5947343075596057,0.34058864509373166,0.5910855266125903,1.405130115718454,-0.8660254037844386,0.5000000000000001,2024-11-01,0.30180060489192645,0.6111111111111112,0.5792054681541869,True,0.0,0.0,0.0,0.0,0.0,0.0,0,4091.2371028173407,1461,0.3956953642384106,0.6531456953642384,0.9565397350993378,0.6477649006622517,0.4735099337748344,0.5000620860927152,common_plus_country_specific,1461
2024-02-01,850790,SE,스웨덴,부분품,13929,282,202402,2024,2,49.3936170212766,3.8998212057499178,23,3.2161209917360756,0.8127957651635702,0.8411709845415491,0.6363636363636364,3.1337367068086746,0.7660844989412432,0.9425301309081912,0.6637445496516435,12327879,0.0011298780593157996,0.5126764538121841,0.0005792618766902167,2024-01-01,0.4370838059464477,0.2863636363636364,0.2863636363636364,1.6143018018018016,0.688622754491018,9.541728276688032,5.641907070938114,0.0,0.0,0.0,0.8411709845415491,0.0,0.0,0.0,0.9188037105613872,-0.7850160342300261,0.543829347383105,3.404389851469354,1.0,-1.0,0.4782608695652174,0.4388718180216778,-0.5956046894885412,-0.29087971495883647,-0.14817563867588657,1.090659365836647,0.8660254037844386,0.5000000000000001,2024-03-01,2.740850992798869,0.896551724137931,0.8398046346974162,True,1.240850992798869,1.240850992798869,0.0,17283.813478695443,17283.813478695443,0.0,0,4086.869636192209,1462,0.39528145695364236,0.44991721854304634,0.9331539735099338,0.2644867549668874,0.47557947019867547,0.3739859271523178,common_shock,1462
2024-02-01,850760,HK,홍콩,리튬이온 축전지,13698,282,202402,2024,2,48.57446808510638,3.8830980448197367,35,4.462097917449933,0.7825615125876184,-0.7398777774231124,0.29411764705882354,4.474453387801473,-0.5913553429817364,-0.7556662747524606,0.6350372428185744,351805056,3.8936336378292416e-05,0.8485741653257548,3.304036914305231e-05,2024-01-01,0.5461429318859352,0.20036764705882354,0.20036764705882354,0.8033175355450237,0.04444444444444451,9.52500511575785,5.641907070938114,0.0,0.0,0.0,0.7398777774231124,0.0,0.0,0.0,0.8947249770089748,-0.26049777685919445,0.9821525938355565,-0.21111218285372146,1.0,1.0,0.45714285714285713,0.40164793631540396,0.16581026636505047,-0.013301216747861666,-0.12399282971294334,0.2288781793554904,0.8660254037844386,0.5000000000000001,2024-03-01,1.0,0.7333333333333333,0.6456214729049478,True,0.0,0.0,0.0,0.0,0.0,0.0,0,4080.9972204688597,1463,0.39486754966887416,0.3932119205298013,0.16225165562913907,0.2644867549668874,0.22019867549668873,0.3928187086092715,low_or_mixed,1463
2024-10-01,850790,IT,이탈리아,부분품,797016,12187,202410,2024,10,65.39886764585214,4.180504944029653,25,3.8815637979434374,1.1178981955546936,0.26741356885175277,0.5833333333333334,3.6820425587175887,0.498462385312064,0.4458924679315099,0.6262163128160139,27684669,0.028789074559641657,0.6760125859264289,0.019461776739492124,2024-09-01,-0.015941444078920952,-0.07051282051282048,0.07051282051282048,-0.24791434888335928,-0.23582894406822175,13.588630032853155,9.408125088823502,0.0,0.0,0.0,0.26741356885175277,0.0,0.0,0.0,0.7697107921791234,0.05269176339514262,0.08131979746488203,0.41598489280571566,-1.0,-1.0,0.32,0.18184122681919188,0.45011789088696386,0.1644725362565871,-0.21803419156366166,0.5497726714425227,-0.8660254037844386,0.5000000000000001,2024-11-01,0.7027689892859377,0.6190476190476191,0.6313558020133836,True,0.0,0.0,0.0,0.0,0.0,0.0,0,4063.920943284848,1464,0.39445364238410596,0.1605960264900662,0.47102649006622516,0.2644867549668874,0.8286423841059603,0.37168874172185434,low_or_mixed,1464
2024-02-01,850790,JP,일본,부분품,131587,5278,202402,2024,2,24.931223948465327,3.2161209917360756,23,3.2161209917360756,0.8127957651635702,0.0,0.5,3.1843671692550943,0.03175382248098124,0.03906740640385962,0.6305011029307213,12327879,0.010673936692597323,0.5126764538121841,0.005472276011776548,2024-01-01,-0.5956046894885412,0.0,0.0,-0.04516330336475316,0.7321956022317033,11.787423508799344,8.57130251706327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38163372408132545,-0.23937052119458965,1.0657789450312223,-0.22173937679947664,-1.0,-1.0,0.4782608695652174,0.0,-0.5956046894885412,-0.29087971495883647,-0.14817563867588657,1.090659365836647,0.8660254037844386,0.5000000000000001,2024-03-01,0.5298285698820051,0.5862068965517241,0.6385343374043744,True,0.0,0.0,0.0,0.0,0.0,0.0,0,4057.8422595949314,1465,0.39403973509933776,0.013658940397350994,0.9331539735099338,0.2644867549668874,0.6920529801324503,0.25345612582781457,common_shock,1465
2024-05-01,850760,NL,네덜란드,리튬이온 축전지,8552,19,202405,2024,5,450.10526315789474,6.109481473538441,31,3.963782524966595,0.5502686858356398,3.899365898521703,0.9333333333333333,3.926391967335401,2.18308950620304,3.967315535841901,0.8970416805090425,437742844,1.9536584360474435e-05,0.9106347921126874,1.7790693437692617e-05,2024-03-01,0.0,0.0,0.0,33.07171314741036,18.0,9.053920452704881,2.9444389791664403,1.0,1.0,0.0,3.899365898521703,0.3333333333333333,0.3333333333333333,0.0,1.178022657266987,0.0,0.0,-0.34011014498819386,,-1.0,0.5806451612903226,1.6352179574445849,-0.2938406513998135,0.03942527259034523,0.5572671841097423,0.605641074855979,0.49999999999999994,-0.8660254037844387,2024-06-01,0.9169385519169604,0.6857142857142857,0.7156714095219159,True,0.0,0.0,0.0,0.0,0.0,0.0,0,4052.3933570640866,1466,0.39362582781456956,0.9697847682119205,0.7481374172185431,0.6477649006622517,0.17963576158940397,0.5871274834437086,common_plus_country_specific,1466
2024-08-01,850710,PL,폴란드,피스톤식 엔진 시동용 연산(鉛酸)축전지,36327,6366,202408,2024,8,5.706409048067861,1.7415899375804378,16,1.7204880433387388,0.46674365288303155,0.045210886342759105,0.5333333333333333,1.6993861490970399,0.0422037884833979,0.09042177268551821,0.5991821708434615,2822140,0.012872146668839958,0.4135430270754443,0.0053231864983911735,2024-07-01,0.034863990183036986,0.3458333333333333,0.3458333333333333,0.17669733091474482,0.13637986433416627,10.500316545422477,8.758726607842037,0.0,0.0,0.0,0.045210886342759105,0.0,0.0,0.0,0.811472139455497,-0.056389571233912715,0.951039618695425,1.6366674503705365,1.0,-1.0,0.5625,0.019779762774957108,-0.5451736955507092,-0.004232627170023928,0.9363466204125546,1.1771025534563906,-0.8660254037844384,-0.5000000000000004,2024-09-01,0.0,0.5,0.7176819463186362,True,0.0,0.0,0.0,0.0,0.0,0.0,0,4052.248313366312,1467,0.3932119205298013,0.08153973509933775,0.9513658940397351,0.2644867549668874,0.6895695364238411,0.27481374172185424,common_shock,1467
2024-05-01,850790,JP,일본,부분품,317366,5840,202405,2024,5,54.34349315068493,3.9953248851615113,33,3.7130004355965838,1.0848778486820851,0.2602361638297774,0.5625,3.5823750482107855,0.41294983695072585,0.3806417814248667,0.6298574061235814,18646218,0.017020395235108805,0.5164337158265793,0.008789905956104245,2024-04-01,0.6805812300416916,0.0625,0.0625,3.2126179699218183,1.132943754565376,12.667810960983784,8.672486075822272,0.0,0.0,0.0,0.2602361638297774,0.0,0.0,0.0,0.1766095232940014,-0.16566067536826568,0.42746440893908416,-0.11205338918735985,1.0,1.0,0.3333333333333333,0.17349077588651826,0.39825678047676405,0.20763847201588792,0.18741789871136794,0.5584911653763882,0.49999999999999994,-0.8660254037844387,2024-06-01,-0.7400003815095235,0.3448275862068966,0.6400727573577225,True,0.0,0.0,0.0,0.0,0.0,0.0,0,4039.6351239396818,1468,0.3927980132450331,0.15480132450331127,0.46295529801324503,0.2644867549668874,0.7524834437086093,0.3586299668874173,low_or_mixed,1468
2024-05-01,850760,ES,스페인,리튬이온 축전지,2538,161,202405,2024,5,15.763975155279503,2.75772728328987,31,3.963782524966595,0.5502686858356398,-2.191756995666954,0.06666666666666667,3.988645321853498,-1.2309180385636282,-2.236940008124126,0.8739500852426473,437742844,5.79792459154398e-06,0.9106347921126874,5.27979185510569e-06,2024-04-01,-1.118796787438733,-0.22365591397849466,0.22365591397849466,-0.9349080557051628,-0.8007425742574257,7.839131648274333,5.081404364984463,1.0,0.0,1.0,2.191756995666954,0.6666666666666666,0.0,0.6666666666666666,2.8421066641966255,0.06593360232626792,2.3327565276176814,3.8329520999222626,-1.0,-1.0,0.5806451612903226,0.9191239014087226,-0.2938406513998135,0.03942527259034523,0.5572671841097423,0.605641074855979,0.49999999999999994,-0.8660254037844387,2024-06-01,-4.052256896928924,0.0,0.9672097841479916,True,2.552256896928924,0.0,2.552256896928924,6477.628004405608,0.0,6477.628004405608,0,4030.4906419448203,1469,0.3923841059602649,0.8857615894039735,0.7481374172185431,0.8381622516556292,0.10802980132450331,0.5752276490066226,common_plus_country_specific,1469
2024-02-01,850750,DE,독일,니켈-수소합금 축전지,11151,23,202402,2024,2,484.82608695652175,6.183790243036212,11,4.941642422609304,0.7349211028055826,1.6901784636268744,1.0,4.880716625435825,1.3030736176003863,1.7730796035463738,0.8157706549637287,320310,0.034813149761168866,0.4174177550542089,0.014531626819673077,2024-01-01,0.41513448185405366,0.25,0.25,0.24411469374093486,-0.1785714285714286,9.319284458965361,3.1354942159291497,1.0,1.0,0.0,1.6901784636268744,0.0,0.0,0.0,0.8606355746357132,0.0066231904696761506,0.5519402342491013,0.004425781653871826,1.0,1.0,0.45454545454545453,0.9219155256146587,-0.13278111123381908,-0.5803392722537297,-0.12365803210873638,0.9703346528362594,0.8660254037844386,0.5000000000000001,2024-03-01,-0.21749069748880137,0.46153846153846156,0.6001830177003774,True,0.0,0.0,0.0,0.0,0.0,0.0,0,4027.438330337595,1470,0.3919701986754967,0.8033940397350994,0.7692466887417219,0.2644867549668874,0.8029801324503312,0.5623758278145695,common_plus_country_specific,1470
2024-05-01,850760,PH,필리핀,리튬이온 축전지,11432,64,202405,2024,5,178.625,5.185288636250031,31,3.963782524966595,0.5502686858356398,2.2198357688271018,0.8,3.926391967335401,1.2588966689146304,2.2877854061473,0.7849797188743176,437742844,2.6115789570737107e-05,0.9106347921126874,2.3781946606606873e-05,2024-04-01,-0.37153942544950613,-0.07096774193548383,0.07096774193548383,-0.5449588026907615,-0.3402061855670103,9.344171719609703,4.1588830833596715,1.0,1.0,0.0,2.2198357688271018,0.3333333333333333,0.3333333333333333,0.0,1.2027242030200533,0.05079565243610803,0.8183510878708515,0.22965219212355267,-1.0,-1.0,0.5806451612903226,0.9308988707984619,-0.2938406513998135,0.03942527259034523,0.5572671841097423,0.605641074855979,0.49999999999999994,-0.8660254037844387,2024-06-01,0.25479258215451406,0.6,0.6336013877220285,True,0.0,0.0,0.0,0.0,0.0,0.0,0,4014.0847529555335,1471,0.39155629139072845,0.8774834437086093,0.7481374172185431,0.6477649006622517,0.19660596026490065,0.5568501655629139,common_plus_country_specific,1471
2024-05-01,854239,FI,핀란드,기타,16568,12,202405,2024,5,1380.6666666666667,7.23032175328742,39,7.662908985039677,0.9761841910561744,-0.4431409929761545,0.34210526315789475,7.668298557153704,-0.4379768038662837,-0.44866205361553574,0.6008926467403144,684681639,2.4198107640505895e-05,0.22116353090280452,5.351738926940416e-06,2024-01-01,0.0,0.0,0.0,0.2628048780487804,0.19999999999999996,9.71522840307542,2.4849066497880004,0.0,0.0,0.0,0.4431409929761545,0.3333333333333333,0.0,0.3333333333333333,1.1640416431619982,0.6784884697935603,0.9279558733171572,-0.14249544571397935,,1.0,0.48717948717948717,0.2272517912698228,-0.09369038766927229,-0.061729102461268504,0.11171640977886987,0.1592110713771289,0.49999999999999994,-0.8660254037844387,2024-06-01,-0.3209885885769377,0.38095238095238093,0.6166781372352179,True,0.0,0.0,0.0,0.0,0.0,0.0,0,4012.370015067065,1472,0.39114238410596025,0.22723509933774835,0.12437913907284769,0.6477649006622517,0.10927152317880795,0.3784354304635762,low_or_mixed,1472
